wavelength,chn1,chn2,chn3,chn4,chn5,chn6,chn7,chn8
0.755,0,0,0,0,0,0,0,0
0.7575,0,0,0,0,0,0,0,0
0.76,0,0,0,0,0,1.36E-04,0,0
0.7625,0,0,0,0,0,1.92E-04,0,0
0.765,0,0,0,0,0,1.09E-04,0,0
0.7675,0,0,0,0,0,2.65E-04,0,0
0.77,0,0,0,0,0,9.28E-05,0,0
0.7725,0,0,0,0,0,3.16E-04,0,0
0.775,0,0,0,0,0,5.01E-04,0,0
0.7775,0,0,0,0,0,7.56E-04,0,0
0.78,0,0,0,0,0,1.14E-03,0,0
0.7825,0,0,0,0,0,1.54E-03,0,0
0.785,0,0,0,0,0,2.55E-03,0,0
0.7875,0,0,0,0,0,0.00464,0,0
0.79,0,0,0,0,0,0.00915,0,0
0.7925,0,0,0,0,0,0.0198,0,0
0.795,0,0,0,0,0,0.04592,0,0
0.7975,0,0,0,0,0,0.12149,0,0
0.8,0,0,0,0,0,0.32,0,0
0.8025,0,0,0,0,0,0.6656,0,0
0.805,0,0,0,0,0,0.9051,0,0
0.8075,0,0,0,0,0,0.96615,0,0
0.81,0,0,0,0,0,0.98897,0,0
0.8125,0,0,0,0,0,0.99944,0,0
0.815,0,0,0,0,0,0.99267,0,0
0.8175,0,0,0,0,0,0.97543,0,0
0.82,0,0,0,0,0,0.8637,0,0
0.8225,0,0,0,0,0,0.52538,0,0
0.825,0,0,0,0,0,0.21754,0,0
0.8275,0,0,0,0,0,0.08132,0,0
0.83,0,0,0,0,0,0.03059,0,0
0.8325,0,0,0,0,0,0.01353,0,0
0.835,0,0,0,0,0,0.00627,0,0
0.8375,0,0,0,0,0,0.00347,0,0
0.84,0,0,0,0,0,0.00184,0,0
0.8425,0,0,0,0,0,9.79E-04,0,0
0.845,0,0,0,0,0,5.34E-04,0,0
0.8475,0,0,0,0,0,4.77E-04,0,0
0.85,0,0,0,0,0,2.18E-04,0,0
0.8525,0,0,0,0,0,1.75E-04,0,0
0.855,0,0,0,0,0,1.51E-04,0,0
0.8575,0,0,0,0,0,1.75E-06,0,0
0.86,0,0,0,0,0,4.83E-03,0,0
0.8625,0,0,0,0,0,0,0,0
0.865,0,0,0,0,0,0,0,0
0.8675,0,0,0,0,0,0,0,0
0.87,0,0,0,0,0,0,0,0
0.8725,0,0,0,0,0,0,0,0
0.875,0,0,0,0,0,0,0,0
0.8775,0,0,0,0,0,0,0,0
0.88,0,0,0,0,0,0,0,0
0.8825,0,0,0,0,0,0,0,0
0.885,0,0,0,0,0,0,0,0
0.8875,0,0,0,0,0,0,0,0
0.89,0,0,0,0,0,0,0,0
0.8925,0,0,0,0,0,0,0,0
0.895,0,0,0,0,0,0,0,0
0.8975,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0
0.9025,0,0,0,0,0,0,0,0
0.905,0,0,0,0,0,0,0,0
0.9075,0,0,0,0,0,0,0,0
0.91,0,0,0,0,0,0,0,0
0.9125,0,0,0,0,0,0,0,0
0.915,0,0,0,0,0,0,0,0
0.9175,0,0,0,0,0,0,0,0
0.92,0,0,0,0,0,0,0,0
0.9225,0,0,0,0,0,0,0,0
0.925,0,0,0,0,0,0,0,0
0.9275,0,0,0,0,0,0,0,0
0.93,0,0,0,0,0,0,0,0
0.9325,0,0,0,0,0,0,0,0
0.935,0,0,0,0,0,0,0,0
0.9375,0,0,0,0,0,0,0,0
0.94,0,0,0,0,0,0,0,0
0.9425,0,0,0,0,0,0,0,0
0.945,0,0,0,0,0,0,0,0
0.9475,0,0,0,0,0,0,0,0
0.95,0,0,0,0,0,0,2.65E-04,0
0.9525,0,0,0,0,0,0,5.86E-04,0
0.955,0,0,0,0,0,0,7.22E-04,0
0.9575,0,0,0,0,0,0,8.62E-04,0
0.96,0,0,0,0,0,0,1.09E-03,0
0.9625,0,0,0,0,0,0,1.19E-03,0
0.965,0,0,0,0,0,0,1.39E-03,0
0.9675,0,0,0,0,0,0,2.03E-03,0
0.97,0,0,0,0,0,0,3.00E-03,0
0.9725,0,0,0,0,0,0,5.28E-03,0
0.975,0,0,0,0,0,0,0.00662,0
0.9775,0,0,0,0,0,0,0.01166,0
0.98,0,0,0,0,0,0,0.02005,0
0.9825,0,0,0,0,0,0,0.04008,0
0.985,0,0,0,0,0,0,0.08981,0
0.9875,0,0,0,0,0,0,0.22194,0
0.99,0,0,0,0,0,0,0.45683,0
0.9925,0,0,0,0,0,0,0.72074,0
0.995,0,0,0,0,0,0,0.90995,0
0.9975,0,0,0,0,0,0,0.98866,0
1,0,0,0,0,0,0,0.99869,0
1.0025,0,0,0,0,0,0,0.98137,0
1.005,0,0,0,0,0,0,0.91294,0
1.0075,0,0,0,0,0,0,0.7324,0
